Komentar,Klasifikasi
Iya min cuaca lagi ga enak lagi batuk filek?,NEGATIF
Apa kabar JALAN protokol KESEHATAN?,NETRAL
Pada jahat nih orang orang cari uangnya ngga benar,NEGATIF
"Lagi intens bgt nih, tiba tiba hujan bentar trus panas lagi, racun terus di sebar mana serumah pd batuk pilek ga sembuh sembuh",NEGATIF
"Lampung mulai nih ,ada pesawat capung keliling 2 hari padahal gak ada perkebunan .tiba2 mendung ini mau ujan .asuuu emng mudah2an meledak pesawat itu",NEGATIF
Mana yg katanya dari tim kesehatan? Bisanya hanya maksain ???,NEGATIF
Sidoarjo memang sering kali hujan berbusa seperti ini + bau obat yang bisa bikin orang kena flu dan batuk,NEGATIF
Kmrn di mlng.. Udah mulai lagi ?,NEGATIF
? apakah ketakutan ini harus memaksa kita untuk berhadap kepada para pawang hujan?,NEGATIF
Krembung tulangan prambon kenek kabeh ??,NEGATIF
Kalo kt ngomong ke org ktny kt sebar hoax. Buat apa kt sebar hoax supaya org ga di micin dan ga takut kopet? Lho kt juga ngga dimicin dan ga takut kopet kok ?,NEGATIF
Di bandung juga sama klo hujan. pasti aspalnya berbusa,NEGATIF
"@yu_suf9916 @vinnn_se ,Salah siji tanda e,pas udan aku budal ng BLK yo ngene onok busa e ng genangan aspal e",NEGATIF
Tangerang juga sama berbusa,NEGATIF
"Setelah sebelumnya tidak hujan-hujan, Kemarin baru saja hujan dan jalanan seperti itu.",NEGATIF
Serius ini semalam ini juga terjadi sepanjang jalan surabaya-driyorejo gresik min!,NEGATIF
Gresik juga bos banyak busa tadi pagi.,NEGATIF
"Ujan merata min , abis di guyur ujan deras brpa hari belakangan , kok bnyk binatang yg mati tiba tiba ?",NEGATIF
Ambu? ne wong akeh sg keno penyakit iki ?,NEGATIF
"@affandi_didik betul , kalau tiba-tiba hujan deras tapi sebentar, sudah dipastikan genangan berbusa",NEGATIF
Kejahatan yg luar biasa kalau memang itu yg terjadi.,NEGATIF
Mulai????baru merdeka,NEGATIF
Mulai deh..,NEGATIF
Kejahatan yg masiv,NEGATIF
Pantes serentak d perumahan aq pd sakit bapil semua?,NEGATIF
Siap2,NEGATIF
lomba ngeracunin,NEGATIF
Dari jam 6 pagian aja udh wira wiri min d palembang tu pesawat.. scara aku kan gojek in ank2 skul.. sll d jalanan.. iseng suka melek in mata liat langit pas lg nunggu d parkiran..,NEGATIF
Banyak yg sakit min.. dan btw tumben lewat diberanda.. biasanya kudu diketik dulu?,NEGATIF
Nyebar racun teros.,NEGATIF
Smua nya di sebar merata dsluruh indonesia,NEGATIF
Hati2 warga palembang?,NEGATIF
